finished,start_date,end_date,recorded_date,gender,age,enrolment_school,student_status,citizenship,ethnic_group,living_situation,current_circumstance,covid_19_stress_1,covid_19_stress_2,covid_19_stress_3,covid_19_stress_4,covid_19_stress_5,covid_19_stress_6,covid_19_stress_7,covid_19_stress_8,covid_19_stress_9,covid_19_stress_10,covid_19_stress_11,covid_19_stress_12,covid_19_stress_13,coping_strategies_1,coping_strategies_2,coping_strategies_3,coping_strategies_4,coping_strategies_5,coping_strategies_6,coping_strategies_7,coping_strategies_8,coping_strategies_9,coping_strategies_10,coping_strategies_11,coping_strategies_12,coping_strategies_13,coping_strategies_14,coping_strategies_15,generalv_wellbeing_1,generalv_wellbeing_2,generalv_wellbeing_3,generalv_wellbeing_4,generalv_wellbeing_5,generalv_wellbeing_6,music_info_4,music_info_5,prop_miss_all
TRUE,2020-04-27T15:53:44Z,2020-04-27T16:00:30Z,2020-04-27T16:00:31Z,female,17,3,1,Australia,Malaysia,1,4,3,3,4,2,1,5,1,1,1,4,3,1,1,2,5,3,6,4,5,3,4,6,1,6,1,5,3,6,4,2,4,5,3,4,Queen,,0
TRUE,2020-04-27T17:43:27Z,2020-04-27T18:18:56Z,2020-04-27T18:18:57Z,female,18,2,1,Australia,Australian,1,4,4,2,4,4,3,4,4,3,3,4,4,5,4,4,5,5,6,3,3,3,6,5,4,4,1,4,3,5,2,2,4,4,2,4,AUSTN,In Betweenin',0
TRUE,2020-04-28T14:34:47Z,2020-04-28T14:44:28Z,2020-04-28T14:44:28Z,female,19,3,1,Australia,Australian/Korean,3,4,2,2,2,2,1,5,5,5,2,4,3,2,2,4,5,3,4,2,4,4,4,5,3,2,2,4,4,3,1,4,3,5,2,1,Sleeping At Last,Saturn,0
TRUE,2020-04-28T15:03:48Z,2020-04-28T15:14:05Z,2020-04-28T15:14:06Z,female,18,1,1,Australia,Caucasian,1,4,2,2,2,4,2,4,5,5,3,4,3,4,2,3,4,1,3,4,5,4,5,4,5,6,1,5,1,3,1,5,4,4,2,1,Lorde,Ribs,0
TRUE,2020-04-28T15:52:42Z,2020-04-28T15:58:38Z,2020-04-28T15:58:38Z,female,18,3,1,Australia,Caucasion,1,4,4,4,4,4,1,4,1,2,4,4,4,4,3,5,6,4,6,5,5,5,6,3,5,5,1,6,5,4,1,3,4,4,2,3,Dean Lewis,All of them,0
TRUE,2020-04-28T15:47:19Z,2020-04-28T16:02:06Z,2020-04-28T16:02:07Z,male,18,3,1,Australia,Australian/Greek,1,5,4,4,5,5,3,4,4,3,4,5,5,2,1,4,3,1,4,3,3,3,5,4,3,1,1,5,4,4,1,5,2,5,1,1,La Dispute,Rhodonite and Grief,0
TRUE,2020-04-28T15:28:42Z,2020-04-28T16:06:43Z,2020-04-28T16:06:44Z,female,18,5,1,Australia,Sri Lankan,1,4,5,1,1,4,1,4,1,1,5,5,4,5,4,5,5,4,5,4,4,4,5,5,5,4,5,4,1,1,2,4,3,2,4,2,Dean Lewis,Waves,0
TRUE,2020-04-28T16:06:46Z,2020-04-28T16:15:21Z,2020-04-28T16:15:22Z,female,18,3,1,Australia,none,1,4,5,5,5,5,1,5,5,3,2,5,5,1,5,1,5,5,5,2,2,5,4,4,1,6,1,4,6,6,2,1,2,1,5,2,Ariana Grande,,0
TRUE,2020-04-28T16:47:31Z,2020-04-28T17:04:08Z,2020-04-28T17:04:09Z,female,18,3,2,China,Chinese,3,4,4,3,3,3,3,4,3,4,5,5,5,4,4,1,5,4,4,3,3,3,4,4,4,3,1,3,4,3,2,1,3,5,3,2,Yomaez,One more night,0
TRUE,2020-04-28T16:53:47Z,2020-04-28T17:11:26Z,2020-04-28T17:11:26Z,female,19,3,1,Australia,Asian,1,5,4,4,1,2,1,5,5,2,4,4,4,3,3,5,5,5,6,2,4,5,5,6,1,6,1,1,6,6,2,1,1,5,1,4,Taylor Swift,Getaway Car,0
